,Player,age,nationality,club,overall,potential,value_eur,wage_eur,player_positions,contract_valid_until,pace,shooting,passing,dribbling,defending,physic,League,Country,Class,Value,Wages
2093,Chris Ramos,22,Spain,Real Valladolid CF,67,75,1100000,6000,ST,2021,78,64,48,61,28,61,La Liga,Spain,Forward,1.1M,6K
2094,Zubiaurre,22,Spain,Real Sociedad,67,75,875000,5000,GK,2021,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,875K,5K
2095,K. Schlotterbeck,22,Germany,1. FC Union Berlin,67,75,1.00E+06,10000,CB,2020,58,22,52,49,67,69,Bundesliga,Germany,Defender,1M,10K
2096,N. Aguerd,23,Morocco,Dijon FCO,67,75,1.00E+06,4000,CB,2021,57,45,54,59,65,67,Ligue 1,France,Defender,1M,4K
2097,Iván Villar,21,Spain,RC Celta,67,74,825000,4000,GK,2023,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,825K,4K
2098,Eneko Capilla,24,Spain,Real Sociedad,67,74,1100000,8000,CAM,2020,57,56,65,70,36,39,La Liga,Spain,Midfielder,1.1M,8K
2099,Miquel Parera,23,Spain,RCD Mallorca,67,74,825000,5000,GK,2021,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,825K,5K
2100,Paulo Otávio,24,Brazil,VfL Wolfsburg,67,73,925000,10000,LB,2023,78,48,60,71,62,56,Bundesliga,Germany,Defender,925K,10K
2101,B. Borrello,23,Australia,SC Freiburg,67,73,1.00E+06,7000,RM,2022,78,66,58,71,21,64,Bundesliga,Germany,Midfielder,1M,7K
2102,Xande Silva,22,Portugal,West Ham United,67,73,1.00E+06,19000,RM,2021,75,61,58,72,27,58,Premier League,UK,Midfielder,1M,19K
2103,C. Borthwick-Jackson,22,England,Manchester United,67,73,925000,23000,LB,2020,70,45,63,62,64,66,Premier League,UK,Defender,925K,23K
2104,A. Seydel,23,Germany,1. FSV Mainz 05,67,73,1100000,9000,ST,2021,68,64,53,66,29,66,Bundesliga,Germany,Forward,1.1M,9K
2105,F. Flecker,23,Austria,1. FC Union Berlin,67,73,1.00E+06,11000,RM,2021,83,60,58,70,36,54,Bundesliga,Germany,Midfielder,1M,11K
2106,A. Mateju,23,Czech Republic,Brescia,67,73,925000,4000,RB,2022,73,41,62,67,64,67,Serie A,Italy,Defender,925K,4K
2107,Rubén Yáñez,25,Spain,Getafe CF,67,72,750000,5000,GK,2020,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,750K,5K
2108,E. Lancini,25,Italy,Brescia,67,72,9.00E+05,4000,CB,2024,66,34,42,50,66,72,Serie A,Italy,Defender,900K,4K
2109,Andrés Prieto,25,Spain,RCD Espanyol,67,71,725000,6000,GK,2021,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,725K,6K
2110,G. Rolando,24,Italy,Sampdoria,67,71,1.00E+06,10000,RM,2022,84,49,64,68,61,64,Serie A,Italy,Midfielder,1M,10K
2111,J. Lundstram,25,England,Sheffield United,67,70,950000,11000,CM,2020,65,58,64,62,68,71,Premier League,UK,Midfielder,950K,11K
2112,J. Kayembe,24,Belgium,FC Nantes,67,70,975000,8000,LW,2021,81,55,60,71,37,54,Ligue 1,France,Forward,975K,8K
2113,M. Cabit,26,France,FC Metz,67,70,825000,6000,LB,2022,73,38,59,62,65,65,Ligue 1,France,Defender,825K,6K
2114,T. Schwede,25,Germany,SC Paderborn 07,67,70,950000,8000,LM,2020,78,54,61,67,31,60,Bundesliga,Germany,Midfielder,950K,8K
2115,S. Ngom,26,Senegal,FC Nantes,67,70,975000,9000,ST,2021,73,68,55,69,29,61,Ligue 1,France,Forward,975K,9K
2116,Rubén Lobato,25,Spain,SD Eibar,67,70,850000,7000,LB,2022,72,39,56,65,63,68,La Liga,Spain,Defender,850K,7K
2117,M. Dreyer,30,France,Amiens SC,67,68,6.00E+05,5000,GK,2020,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,600K,5K
2118,A. Lazaar,27,Morocco,Newcastle United,67,68,750000,11000,LB,2021,65,57,64,70,65,62,Premier League,UK,Defender,750K,11K
2119,G. Munari,36,Italy,Parma,67,67,240000,10000,CM,2024,32,66,66,63,64,81,Serie A,Italy,Midfielder,240K,10K
2120,S. Aresti,33,Italy,Cagliari,67,67,4.00E+05,8000,GK,2020,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,400K,8K
2121,L. Scaglia,32,Italy,Parma,67,67,475000,12000,LB,2020,83,57,61,67,59,69,Serie A,Italy,Defender,475K,12K
2122,C. Groß,30,Germany,SV Werder Bremen,67,67,625000,8000,CB,2020,59,55,59,64,65,70,Bundesliga,Germany,Defender,625K,8K
2123,S. Moore,29,England,Sheffield United,67,67,550000,9000,GK,2021,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,550K,9K
2124,S. Ciss,30,Senegal,Angers SCO,67,67,6.00E+05,7000,LB,2020,77,60,62,69,64,76,Ligue 1,France,Defender,600K,7K
2125,R. Holmes,32,England,Sheffield United,67,67,6.00E+05,11000,LM,2020,74,62,63,70,28,63,Premier League,UK,Midfielder,600K,11K
2126,M. Alphonse,29,France,Dijon FCO,67,67,625000,5000,RB,2021,79,49,57,60,64,64,Ligue 1,France,Defender,625K,5K
2127,R. Matondo,18,Wales,FC Schalke 04,66,85,1300000,3000,RM,2023,88,56,61,68,31,49,Bundesliga,Germany,Midfielder,1.3M,3K
2128,Y. Adli,18,France,FC Girondins de Bordeaux,66,85,1300000,3000,CM,2023,61,53,65,71,57,60,Ligue 1,France,Midfielder,1.3M,3K
2129,O. Solet,19,France,Olympique Lyonnais,66,84,1300000,8000,CB,2022,69,35,53,60,62,71,Ligue 1,France,Defender,1.3M,8K
2130,S. van den Berg,17,Netherlands,Liverpool,66,84,1200000,1000,CB,2022,68,30,55,63,65,66,Premier League,UK,Defender,1.2M,1K
2131,D. Jastrzembski,19,Germany,Hertha BSC,66,84,1400000,4000,LM,2022,80,61,60,69,35,58,Bundesliga,Germany,Midfielder,1.4M,4K
2132,N. Armini,18,Italy,Lazio,66,84,1200000,3000,CB,2022,64,38,49,53,67,63,Serie A,Italy,Defender,1.2M,3K
2133,Tiago Djaló,19,Portugal,LOSC Lille,66,84,1300000,5000,CB,2024,64,40,56,60,65,70,Ligue 1,France,Defender,1.3M,5K
2134,R. Guitane,20,France,Stade Rennais FC,66,83,1400000,8000,CAM,2022,77,54,62,72,30,45,Ligue 1,France,Midfielder,1.4M,8K
2135,Pedro Neto,19,Portugal,Wolverhampton Wanderers,66,83,1400000,12000,CF,2024,78,62,53,72,22,41,Premier League,UK,Forward,1.4M,12K
2136,Eric García,18,Spain,Manchester City,66,83,1200000,7000,CB,2022,58,34,53,59,65,64,Premier League,UK,Defender,1.2M,7K
2137,M. Sylla,19,France,AS Monaco,66,82,1400000,7000,ST,2020,79,64,53,68,22,53,Ligue 1,France,Forward,1.4M,7K
2138,Miguel,19,Spain,Real Valladolid CF,66,82,1400000,4000,ST,2021,75,64,48,65,30,66,La Liga,Spain,Forward,1.4M,4K
2139,Sergio López,20,Spain,Real Madrid,66,82,1300000,20000,RB,2022,80,55,62,67,62,58,La Liga,Spain,Defender,1.3M,20K
2140,M. Coulibaly,20,Senegal,Udinese,66,81,1400000,4000,CM,2022,72,57,64,65,63,71,Serie A,Italy,Midfielder,1.4M,4K
2141,Jeong Woo Yeong,19,Korea Republic,SC Freiburg,66,81,1400000,4000,RM,2022,75,54,59,70,35,54,Bundesliga,Germany,Midfielder,1.4M,4K
2142,C. Gomes,18,France,Manchester City,66,81,1200000,7000,CDM,2023,67,56,61,63,65,62,Premier League,UK,Midfielder,1.2M,7K
2143,Robert,18,Spain,Real Betis,66,81,1300000,3000,RW,2024,72,59,67,69,26,40,La Liga,Spain,Forward,1.3M,3K
2144,J. Maja,20,England,FC Girondins de Bordeaux,66,80,1400000,7000,ST,2023,76,67,52,62,28,56,Ligue 1,France,Forward,1.4M,7K
2145,M. Léris,21,France,Sampdoria,66,80,1400000,7000,CM,2024,62,63,62,63,61,68,Serie A,Italy,Midfielder,1.4M,7K
2146,F. Götze,21,Germany,FC Augsburg,66,79,1200000,5000,CB,2022,59,31,51,59,66,64,Bundesliga,Germany,Defender,1.2M,5K
2147,G. Poussin,20,France,FC Girondins de Bordeaux,66,79,1.00E+06,4000,GK,2021,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,1M,4K
2148,R. Vodišek,20,Slovenia,Genoa,66,79,1.00E+06,2000,GK,2022,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,1M,2K
2149,Víctor,22,Spain,Real Valladolid CF,66,78,1100000,5000,RM,2021,74,64,61,66,50,60,La Liga,Spain,Midfielder,1.1M,5K
2150,Kuki Zalazar,21,Spain,Real Valladolid CF,66,77,1100000,4000,CAM,2022,60,62,66,71,27,37,La Liga,Spain,Midfielder,1.1M,4K
2151,D. Mitchell,22,England,Manchester United,66,77,1.00E+06,19000,LB,2020,82,61,66,69,59,60,Premier League,UK,Defender,1M,19K
2152,M. Bakker,19,Netherlands,Paris Saint-Germain,66,77,975000,8000,LB,2023,78,39,58,65,64,65,Ligue 1,France,Defender,975K,8K
2153,P. Ghiglione,22,Italy,Genoa,66,76,1.00E+06,4000,RM,2022,75,52,60,68,63,56,Serie A,Italy,Midfielder,1M,4K
2154,M. Ndockyt,20,Congo,Getafe CF,66,76,1.00E+06,5000,CAM,2021,63,55,58,62,39,56,La Liga,Spain,Midfielder,1M,5K
2155,Daniel Fuzato,21,Brazil,Roma,66,76,825000,5000,GK,2022,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,825K,5K
2156,Fidalgo,22,Spain,Real Madrid,66,76,1.00E+06,27000,CAM,2020,64,50,66,69,49,55,La Liga,Spain,Midfielder,1M,27K
2157,L. Kilian,19,Germany,SC Paderborn 07,66,76,925000,3000,CB,2021,64,37,54,49,64,71,Bundesliga,Germany,Defender,925K,3K
2158,F. Dimarco,21,Italy,Inter,66,75,9.00E+05,10000,LB,2023,62,33,66,61,65,59,Serie A,Italy,Defender,900K,10K
2159,P. Ochs,22,Germany,TSG 1899 Hoffenheim,66,75,1.00E+06,8000,LM,2020,70,61,63,68,49,60,Bundesliga,Germany,Midfielder,1M,8K
2160,M. Ristic,23,Serbia,Montpellier HSC,66,75,9.00E+05,7000,LWB,2022,68,57,59,65,62,59,Ligue 1,France,Defender,900K,7K
2161,D. Khalid,20,Morocco,Amiens SC,66,75,1.00E+06,5000,ST,2022,68,66,56,70,19,53,Ligue 1,France,Forward,1M,5K
2162,R. Guerra,22,Uruguay,Villarreal CF,66,75,925000,7000,CDM,2020,55,55,57,64,63,63,La Liga,Spain,Midfielder,925K,7K
2163,H. Rafia,20,France,Juventus,66,75,1.00E+06,17000,CAM,2023,66,65,63,71,29,59,Serie A,Italy,Midfielder,1M,17K
2164,Pedro Chirivella,22,Spain,Liverpool,66,74,925000,18000,CM,2020,65,46,64,66,57,69,Premier League,UK,Midfielder,925K,18K
2165,S. Sy,23,Senegal,AS Monaco,66,74,725000,6000,GK,2020,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,725K,6K
2166,J. Ryerson,21,Norway,1. FC Union Berlin,66,74,850000,7000,RB,2021,67,56,60,65,63,74,Bundesliga,Germany,Defender,850K,7K
2167,P. Kammerbauer,22,Germany,SC Freiburg,66,74,875000,5000,CDM,2022,66,48,65,70,62,67,Bundesliga,Germany,Midfielder,875K,5K
2168,J. Jach,25,Poland,Crystal Palace,66,73,8.00E+05,12000,CB,2021,54,45,50,55,64,73,Premier League,UK,Defender,800K,12K
2169,Arturo Molina,23,Spain,Levante UD,66,73,9.00E+05,6000,CAM,2020,68,62,62,71,52,55,La Liga,Spain,Midfielder,900K,6K
2170,A. Reca,24,Poland,Atalanta,66,73,8.00E+05,10000,LB,2022,80,57,63,69,62,66,Serie A,Italy,Defender,800K,10K
2171,S. Coulibaly,24,France,Dijon FCO,66,73,825000,4000,CB,2020,53,38,45,49,65,70,Ligue 1,France,Defender,825K,4K
2172,Carlos Neva,23,Spain,Granada CF,66,73,8.00E+05,5000,LB,2021,73,43,54,63,65,56,La Liga,Spain,Defender,800K,5K
2173,M. Macey,24,England,Arsenal,66,72,675000,12000,GK,2020,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,675K,12K
2174,S. McQueen,24,England,Southampton,66,72,775000,11000,LB,2021,68,48,62,70,64,65,Premier League,UK,Defender,775K,11K
2175,M. Jankovic,23,Montenegro,SPAL,66,72,875000,4000,CAM,2022,73,60,62,67,38,51,Serie A,Italy,Midfielder,875K,4K
2176,D. Del Fabro,24,Italy,Juventus,66,71,775000,18000,CB,2022,60,34,38,48,67,71,Serie A,Italy,Defender,775K,18K
2177,G. Iñíguez,25,Argentina,Udinese,66,71,850000,5000,CM,2024,66,53,65,68,62,67,Serie A,Italy,Midfielder,850K,5K
2178,A. Tshibola,24,DR Congo,Aston Villa,66,71,850000,13000,CM,2020,66,56,65,69,62,71,Premier League,UK,Midfielder,850K,13K
2179,N. Mbemba,24,France,Stade de Reims,66,71,850000,7000,CM,2021,66,59,64,67,60,65,Ligue 1,France,Midfielder,850K,7K
2180,L. Andrenacci,24,Italy,Brescia,66,71,650000,3000,GK,2024,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,650K,3K
2181,A. Olliero,23,France,FC Nantes,66,71,650000,4000,GK,2023,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,650K,4K
2182,Juan Hernández,24,Spain,RC Celta,66,71,850000,6000,RM,2020,63,62,62,66,24,46,La Liga,Spain,Midfielder,850K,6K
2183,G. Lloris,23,France,OGC Nice,66,70,750000,7000,CB,2020,46,36,49,50,66,67,Ligue 1,France,Defender,750K,7K
2184,S. Carruthers,26,Republic of Ireland,Sheffield United,66,69,8.00E+05,10000,CAM,2020,73,55,64,68,55,59,Premier League,UK,Midfielder,800K,10K
2185,A. Empereur,25,Brazil,Hellas Verona,66,69,725000,4000,CB,2021,64,28,48,48,67,68,Serie A,Italy,Defender,725K,4K
2186,A. Donnarumma,28,Italy,Milan,66,67,550000,8000,GK,2021,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,550K,8K
2187,D. Martin,33,England,West Ham United,66,66,350000,14000,GK,2021,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,350K,14K
2188,S. Henderson,31,Republic of Ireland,Crystal Palace,66,66,425000,10000,GK,2020,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,425K,10K
2189,K. Cissé,30,Guinea,Hellas Verona,66,66,625000,5000,ST,2021,83,60,52,61,39,76,Serie A,Italy,Forward,625K,5K
2190,M. Wassey,31,Canada,SC Paderborn 07,66,66,550000,7000,CM,2020,52,59,66,65,57,65,Bundesliga,Germany,Midfielder,550K,7K
2191,B. Saka,17,England,Arsenal,65,86,1200000,2000,LM,2023,83,60,58,67,37,59,Premier League,UK,Midfielder,1.2M,2K
2192,J. Panzo,18,England,AS Monaco,65,84,1.00E+06,2000,CB,2021,58,38,50,53,64,63,Ligue 1,France,Defender,1M,2K
2193,T. Chong,19,Netherlands,Manchester United,65,83,1200000,14000,RW,2020,78,62,63,64,44,62,Premier League,UK,Forward,1.2M,14K
2194,E. Smith Rowe,18,England,Arsenal,65,83,1100000,7000,LW,2022,79,63,59,68,32,47,Premier League,UK,Forward,1.1M,7K
2195,L. Foster,18,South Africa,AS Monaco,65,83,1100000,4000,ST,2023,73,65,51,64,34,61,Ligue 1,France,Forward,1.1M,4K
2196,Chumi,20,Spain,FC Barcelona,65,82,1100000,18000,CB,2020,56,36,49,53,65,65,La Liga,Spain,Defender,1.1M,18K
2197,P. Micin,20,Serbia,Udinese,65,82,1200000,4000,RW,2021,63,65,61,69,34,53,Serie A,Italy,Forward,1.2M,4K
2198,M. Antonucci,20,Italy,Roma,65,81,1200000,8000,LW,2022,68,55,64,68,32,47,Serie A,Italy,Forward,1.2M,8K
2199,De la Fuente,20,Spain,Real Madrid,65,81,1100000,18000,CB,2020,57,39,50,55,64,66,La Liga,Spain,Defender,1.1M,18K
2200,Bryan Gil,18,Spain,Sevilla FC,65,81,1100000,2000,LW,2022,71,60,58,71,26,34,La Liga,Spain,Forward,1.1M,2K
2201,M. Güçlü,20,Turkey,Paris Saint-Germain,65,81,1200000,13000,ST,2022,72,64,54,65,23,51,Ligue 1,France,Forward,1.2M,13K
2202,J. Tanganga,20,England,Tottenham Hotspur,65,80,1100000,12000,CB,2020,63,22,43,51,64,66,Premier League,UK,Defender,1.1M,12K
2203,T. Basila,20,France,FC Nantes,65,80,1100000,4000,CB,2021,60,32,48,46,63,66,Ligue 1,France,Defender,1.1M,4K
2204,I. Louza,20,France,FC Nantes,65,80,1200000,5000,CM,2024,67,56,65,67,52,51,Ligue 1,France,Midfielder,1.2M,5K
2205,Álex Collado,20,Spain,FC Barcelona,65,80,1200000,20000,CM,2021,67,61,64,68,53,40,La Liga,Spain,Midfielder,1.2M,20K
2206,Jordi Escobar,17,Spain,Valencia CF,65,80,1100000,2000,ST,2021,60,66,48,61,18,47,La Liga,Spain,Forward,1.1M,2K
2207,Berrocal,19,Spain,Sevilla FC,65,79,1100000,2000,CB,2022,60,35,48,49,64,65,La Liga,Spain,Defender,1.1M,2K
2208,Moreto Cassamá,21,Guinea Bissau,Stade de Reims,65,79,1200000,5000,CM,2023,69,59,62,71,56,49,Ligue 1,France,Midfielder,1.2M,5K
2209,C. Rocchia,21,France,Olympique de Marseille,65,79,1100000,5000,LB,2021,75,41,55,58,61,59,Ligue 1,France,Defender,1.1M,5K
2210,N. Boujellab,20,Morocco,FC Schalke 04,65,79,1200000,5000,CAM,2022,70,56,58,72,41,52,Bundesliga,Germany,Midfielder,1.2M,5K
2211,Jorge Cuenca,19,Spain,FC Barcelona,65,78,950000,13000,CB,2021,55,35,51,43,65,63,La Liga,Spain,Defender,950K,13K
2212,Luis Perea,21,Spain,CA Osasuna,65,78,1.00E+06,5000,CM,2021,56,53,59,63,59,66,La Liga,Spain,Midfielder,1M,5K
2213,A. Ba,20,France,FC Nantes,65,78,1.00E+06,5000,CM,2023,67,50,58,65,60,71,Ligue 1,France,Midfielder,1M,5K
2214,R. Faivre,20,France,AS Monaco,65,78,1.00E+06,6000,CM,2021,63,53,65,65,58,59,Ligue 1,France,Midfielder,1M,6K
2215,E. Sylvestre,19,France,OGC Nice,65,78,1.00E+06,5000,RW,2022,65,64,58,71,27,45,Ligue 1,France,Forward,1M,5K
2216,S. Ingelsson,21,Sweden,Udinese,65,77,950000,3000,CM,2022,63,54,65,68,55,54,Serie A,Italy,Midfielder,950K,3K
2217,A. Dreyer,21,Denmark,Brighton & Hove Albion,65,77,975000,8000,RM,2022,73,65,59,69,36,57,Premier League,UK,Midfielder,975K,8K
2218,K. Nwakali,21,Nigeria,Arsenal,65,77,975000,12000,CAM,2021,71,55,59,72,34,57,Premier League,UK,Midfielder,975K,12K
2219,G. Thomas,22,Wales,Leicester City,65,76,925000,14000,CAM,2020,77,61,61,66,36,64,Premier League,UK,Midfielder,925K,14K
2220,F. Alastra,21,Italy,Parma,65,76,750000,5000,GK,2022,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,750K,5K
2221,K. Davis,21,England,Aston Villa,65,76,950000,11000,ST,2020,69,59,51,68,41,73,Premier League,UK,Forward,950K,11K
2222,A. Zaccagno,22,Italy,Torino,65,76,750000,6000,GK,2020,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,750K,6K
2223,F. Chabrolle,21,France,Olympique de Marseille,65,76,925000,6000,CAM,2021,63,57,63,70,31,48,Ligue 1,France,Midfielder,925K,6K
2224,I. Azzaoui,21,Belgium,VfL Wolfsburg,65,75,875000,7000,LM,2020,76,55,56,73,29,51,Bundesliga,Germany,Midfielder,875K,7K
2225,F. Reese,21,Germany,FC Schalke 04,65,75,875000,5000,RM,2020,78,60,56,64,40,64,Bundesliga,Germany,Midfielder,875K,5K
2226,Javi Díaz,22,Spain,Sevilla FC,65,75,675000,3000,GK,2020,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,675K,3K
2227,S. Hughes,22,England,Leicester City,65,75,8.00E+05,13000,CB,2020,55,33,43,45,64,70,Premier League,UK,Defender,800K,13K
2228,Fran Manzanara,22,Spain,Levante UD,65,75,8.00E+05,5000,CDM,2021,63,50,58,65,65,51,La Liga,Spain,Midfielder,800K,5K
2229,M. Simakan,19,France,RC Strasbourg Alsace,65,75,775000,3000,CB,2022,56,31,44,46,64,68,Ligue 1,France,Defender,775K,3K
2230,A. Taoui,17,France,Toulouse Football Club,65,75,775000,2000,ST,2021,69,64,56,68,24,55,Ligue 1,France,Forward,775K,2K
2231,Samu Pérez,22,Spain,Real Valladolid CF,65,75,675000,3000,GK,2020,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,675K,3K
2232,G. Berthier,23,France,Stade de Reims,65,74,825000,6000,LM,2020,69,59,65,65,29,60,Ligue 1,France,Midfielder,825K,6K
2233,M. Munetsi,23,Zimbabwe,Stade de Reims,65,74,750000,5000,CB,2023,65,38,52,49,67,62,Ligue 1,France,Defender,750K,5K
2234,J. Tell,22,France,Stade Rennais FC,65,74,850000,9000,ST,2022,65,65,56,62,31,61,Ligue 1,France,Forward,850K,9K
2235,Igor,21,Brazil,SPAL,65,74,775000,3000,CB,2023,69,31,48,47,64,73,Serie A,Italy,Defender,775K,3K
2236,Moncayola,21,Spain,CA Osasuna,65,74,850000,5000,LM,2021,67,61,63,66,39,52,La Liga,Spain,Midfielder,850K,5K
2237,F. Jagiello,21,Poland,Genoa,65,73,8.00E+05,3000,CM,2023,72,56,64,68,47,60,Serie A,Italy,Midfielder,800K,3K
2238,M. Udol,23,France,FC Metz,65,73,7.00E+05,4000,LB,2020,73,37,56,63,64,66,Ligue 1,France,Defender,700K,4K
2239,J. Bellegarde,21,France,RC Strasbourg Alsace,65,73,725000,5000,CDM,2023,69,48,62,69,63,59,Ligue 1,France,Midfielder,725K,5K
2240,A. Abeid,21,Mauritania,Levante UD,65,73,725000,4000,LB,2020,71,42,54,62,63,65,La Liga,Spain,Defender,725K,4K
2241,Aarón,23,Spain,Granada CF,65,72,575000,3000,GK,2020,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,575K,3K
2242,Carlos Blanco,23,Spain,Villarreal CF,65,72,675000,6000,CB,2020,33,39,52,51,66,62,La Liga,Spain,Defender,675K,6K
2243,G. Castrovilli,22,Italy,Fiorentina,65,72,750000,10000,CM,2021,70,55,65,70,47,40,Serie A,Italy,Midfielder,750K,10K
2244,S. Ahannach,23,Netherlands,Brighton & Hove Albion,65,72,750000,11000,LW,2020,71,61,60,70,38,52,Premier League,UK,Forward,750K,11K
2245,R. Kapic,23,Bosnia Herzegovina,SC Paderborn 07,65,72,750000,5000,CM,2022,67,49,62,63,57,62,Bundesliga,Germany,Midfielder,750K,5K
2246,R. Inniss,24,England,Crystal Palace,65,71,675000,10000,CB,2020,32,33,42,38,63,77,Premier League,UK,Defender,675K,10K
2247,M. Hilßner,24,Germany,SC Paderborn 07,65,71,750000,5000,RM,2021,66,67,65,63,34,68,Bundesliga,Germany,Midfielder,750K,5K
2248,E. Oelschlägel,23,Germany,Borussia Dortmund,65,71,550000,9000,GK,2020,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,550K,9K
2249,A. Traoré,24,Mali,FC Metz,65,71,750000,5000,LW,2022,84,60,55,68,17,50,Ligue 1,France,Forward,750K,5K
2250,G. Muzinga,24,DR Congo,Dijon FCO,65,71,650000,3000,LB,2021,69,43,53,65,63,69,Ligue 1,France,Defender,650K,3K
2251,C. Lykogiannis,25,Greece,Cagliari,65,70,625000,7000,LB,2022,68,68,65,62,61,67,Serie A,Italy,Defender,625K,7K
2252,J. Graham,24,England,Wolverhampton Wanderers,65,69,7.00E+05,14000,LM,2020,77,58,61,70,27,47,Premier League,UK,Midfielder,700K,14K
2253,F. Kath,24,Germany,SC Freiburg,65,68,675000,5000,LM,2020,74,56,58,68,40,60,Bundesliga,Germany,Midfielder,675K,5K
2254,K. Shelton,26,United States,SC Paderborn 07,65,68,675000,7000,ST,2021,75,56,56,65,37,72,Bundesliga,Germany,Forward,675K,7K
2255,S. Calvano,25,Italy,Hellas Verona,65,67,650000,4000,CM,2021,66,53,66,64,53,62,Serie A,Italy,Midfielder,650K,4K
2256,P. Delecroix,30,France,FC Metz,65,66,425000,4000,GK,2020,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,425K,4K
2257,M. Langer,34,Austria,FC Schalke 04,65,65,240000,5000,GK,2021,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,240K,5K
2258,A. Lonergan,35,England,Liverpool,65,65,150000,8000,GK,2024,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,150K,8K
2259,A. Stolz,35,Germany,TSG 1899 Hoffenheim,65,65,150000,4000,GK,2020,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,150K,4K
2260,P. Ofosu-Ayeh,27,Ghana,Wolverhampton Wanderers,65,65,475000,15000,RB,2020,81,47,56,66,62,71,Premier League,UK,Defender,475K,15K
2261,S. Ichazo,27,Uruguay,Torino,65,65,375000,7000,GK,2024,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,375K,7K
2262,T. Parrott,17,Republic of Ireland,Tottenham Hotspur,64,85,1.00E+06,4000,ST,2021,76,64,53,62,26,58,Premier League,UK,Forward,1M,4K
2263,R. Piccoli,18,Italy,Atalanta,64,85,1.00E+06,5000,ST,2023,55,63,47,57,34,63,Serie A,Italy,Forward,1M,5K
2264,R. Brewster,19,England,Liverpool,64,84,975000,10000,ST,2023,77,63,53,65,19,55,Premier League,UK,Forward,975K,10K
2265,W. Geubbels,17,France,AS Monaco,64,84,9.00E+05,2000,ST,2023,84,62,53,64,26,53,Ligue 1,France,Forward,900K,2K
2266,E. Loiodice,18,France,Dijon FCO,64,84,925000,1000,CM,2021,56,45,59,70,56,47,Ligue 1,France,Midfielder,925K,1K
2267,E. Simms,18,England,Everton,64,84,950000,7000,ST,2023,77,64,50,59,25,58,Premier League,UK,Forward,950K,7K
2268,C. Akono,19,Germany,1. FSV Mainz 05,64,82,975000,4000,ST,2023,68,63,50,62,28,66,Bundesliga,Germany,Forward,975K,4K
2269,R. Aït Nouri,18,France,Angers SCO,64,82,850000,1000,LB,2021,68,42,58,65,62,50,Ligue 1,France,Defender,850K,1K
2270,I. Lihadji,17,France,Olympique de Marseille,64,82,9.00E+05,2000,RW,2020,78,57,57,70,23,43,Ligue 1,France,Forward,900K,2K
2271,André Anderson,19,Brazil,Lazio,64,81,975000,6000,CF,2022,72,59,60,68,25,49,Serie A,Italy,Forward,975K,6K
2272,Iñaki Peña,20,Spain,FC Barcelona,64,81,850000,12000,GK,2021,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,850K,12K
2273,Mateu Morey,19,Spain,Borussia Dortmund,64,81,9.00E+05,6000,RB,2024,76,45,59,69,57,52,Bundesliga,Germany,Defender,900K,6K
2274,A. Ouattara,19,Burkina Faso,LOSC Lille,64,80,975000,4000,RM,2024,77,56,54,68,32,53,Ligue 1,France,Midfielder,975K,4K
2275,L. Balerdi,20,Argentina,Borussia Dortmund,64,80,925000,9000,CB,2024,66,30,47,49,64,67,Bundesliga,Germany,Defender,925K,9K
2276,J. Burkardt,18,Germany,1. FSV Mainz 05,64,80,950000,3000,ST,2022,72,60,53,71,25,59,Bundesliga,Germany,Forward,950K,3K
