,Player,age,nationality,club,overall,potential,value_eur,wage_eur,player_positions,contract_valid_until,pace,shooting,passing,dribbling,defending,physic,League,Country,Class,Value,Wages,Name.Pos,, Value_Euros , Value_Euros1 
2650,S. Ingelsson,21,Sweden,Udinese,65,77,€950K,€3K,CM,2022,63,54,65,68,55,54,Serie A,Italy,Midfielder,950K,3K,"S. Ingelsson, CM",,"950,000.00",950000
2651,S. Jovetic,29,Montenegro,AS Monaco,78,78,€10.5M,€45K,ST,2021,67,80,76,80,35,63,Ligue 1,France,Forward,10.5M,45K,"S. Jovetic, ST",,"10,500,000.00",10500000
2652,S. Kalou,33,Ivory Coast,Hertha BSC,79,79,€7.5M,€34K,LM,2020,65,78,74,85,43,59,Bundesliga,Germany,Midfielder,7.5M,34K,"S. Kalou, LM",,"7,500,000.00",7500000
2653,S. Kalu,21,Nigeria,FC Girondins de Bordeaux,75,84,€10.5M,€21K,RM,2023,87,65,70,76,31,51,Ligue 1,France,Midfielder,10.5M,21K,"S. Kalu, RM",,"10,500,000.00",10500000
2654,S. Kapino,25,Greece,SV Werder Bremen,73,78,€3.9M,€15K,GK,2021,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,3.9M,15K,"S. Kapino, GK",,"3,900,000.00",3900000
2655,S. Khaoui,24,Tunisia,Olympique de Marseille,72,76,€4.1M,€20K,CAM,2021,72,64,73,74,38,54,Ligue 1,France,Midfielder,4.1M,20K,"S. Khaoui, CAM",,"4,100,000.00",4100000
2656,S. Khedira,32,Germany,Juventus,83,83,€19.5M,€135K,CM,2021,51,74,78,77,80,80,Serie A,Italy,Midfielder,19.5M,135K,"S. Khedira, CM",,"19,500,000.00",19500000
2657,S. Kjær,30,Denmark,Sevilla FC,82,82,€18M,€24K,CB,2021,65,55,63,55,81,78,La Liga,Spain,Defender,18M,24K,"S. Kjær, CB",,"18,000,000.00",18000000
2658,S. Kolašinac,26,Bosnia Herzegovina,Arsenal,79,82,€13.5M,€76K,LB,2022,75,62,72,73,75,87,Premier League,UK,Defender,13.5M,76K,"S. Kolašinac, LB",,"13,500,000.00",13500000
2659,S. Lahssaini,20,Belgium,FC Metz,58,68,€200K,€2K,CM,2021,67,46,56,61,50,53,Ligue 1,France,Midfielder,200K,2K,"S. Lahssaini, CM",,"200,000.00",200000
2660,S. Lainer,26,Austria,Borussia Monchengladbach,77,79,€9.5M,€26K,RB,2024,85,64,68,72,70,77,Bundesliga,Germany,Defender,9.5M,26K,"S. Lainer, RB",,"9,500,000.00",9500000
2661,S. Langkamp,31,Germany,SV Werder Bremen,75,75,€4.9M,€23K,CB,2020,52,29,48,43,77,73,Bundesliga,Germany,Defender,4.9M,23K,"S. Langkamp, CB",,"4,900,000.00",4900000
2662,S. Lo Faso,21,Italy,Lecce,65,77,€975K,€4K,CF,2023,79,62,61,66,26,51,Serie A,Italy,Forward,975K,4K,"S. Lo Faso, CF",,"975,000.00",975000
2663,S. Lobotka,24,Slovakia,RC Celta,79,85,€17M,€25K,CM,2023,64,63,76,78,70,66,La Liga,Spain,Midfielder,17M,25K,"S. Lobotka, CM",,"17,000,000.00",17000000
2664,S. Long,32,Republic of Ireland,Southampton,74,74,€4.5M,€46K,ST,2020,80,72,61,71,36,69,Premier League,UK,Forward,4.5M,46K,"S. Long, ST",,"4,500,000.00",4500000
2665,S. Longstaff,21,England,Newcastle United,72,84,€5.5M,€20K,CM,2022,63,65,68,67,60,60,Premier League,UK,Midfielder,5.5M,20K,"S. Longstaff, CM",,"5,500,000.00",5500000
2666,S. Lukic,22,Serbia,Torino,74,81,€7M,€27K,CDM,2023,66,60,75,77,69,68,Serie A,Italy,Midfielder,7M,27K,"S. Lukic, CDM",,"7,000,000.00",7000000
2667,S. Lulic,33,Bosnia Herzegovina,Lazio,79,79,€7.5M,€53K,LM,2020,78,72,77,78,75,76,Serie A,Italy,Midfielder,7.5M,53K,"S. Lulic, LM",,"7,500,000.00",7500000
2668,S. Luperto,22,Italy,Napoli,72,82,€4.6M,€29K,CB,2023,51,55,60,59,74,70,Serie A,Italy,Defender,4.6M,29K,"S. Luperto, CB",,"4,600,000.00",4600000
2669,S. Mallon,20,Republic of Ireland,Sheffield United,56,73,€200K,€4K,LM,2020,67,48,52,53,45,50,Premier League,UK,Midfielder,200K,4K,"S. Mallon, LM",,"200,000.00",200000
2670,S. Mamba,25,Germany,SC Paderborn 07,64,68,€600K,€6K,ST,2022,90,61,44,62,26,67,Bundesliga,Germany,Forward,600K,6K,"S. Mamba, ST",,"600,000.00",600000
2671,S. Mandanda,34,France,Olympique de Marseille,80,80,€6.5M,€32K,GK,2021,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,6.5M,32K,"S. Mandanda, GK",,"6,500,000.00",6500000
2672,S. Mane,27,Senegal,Liverpool,88,88,€62M,€220K,LW,2023,94,83,77,89,44,74,Premier League,UK,Forward,62M,220K,"S. Mane, LW",,"62,000,000.00",62000000
2673,S. March,24,England,Brighton & Hove Albion,75,78,€8.5M,€36K,LM,2022,77,68,72,77,50,60,Premier League,UK,Midfielder,8.5M,36K,"S. March, LM",,"8,500,000.00",8500000
2674,S. McQueen,24,England,Southampton,66,72,€775K,€11K,LB,2021,68,48,62,70,64,65,Premier League,UK,Defender,775K,11K,"S. McQueen, LB",,"775,000.00",775000
2675,S. McTominay,22,Scotland,Manchester United,77,84,€11.5M,€73K,CDM,2023,61,65,72,72,74,80,Premier League,UK,Midfielder,11.5M,73K,"S. McTominay, CDM",,"11,500,000.00",11500000
2676,S. Meïte,25,France,Torino,78,81,€13M,€43K,CM,2023,66,61,74,78,75,83,Serie A,Italy,Midfielder,13M,43K,"S. Meïte, CM",,"13,000,000.00",13000000
2677,S. Mendoza,27,Colombia,Amiens SC,73,73,€4.2M,€16K,LM,2021,90,67,64,78,29,65,Ligue 1,France,Midfielder,4.2M,16K,"S. Mendoza, LM",,"4,200,000.00",4200000
2678,S. Michel,28,Germany,SC Paderborn 07,72,72,€3.2M,€20K,ST,2021,78,72,62,70,27,71,Bundesliga,Germany,Forward,3.2M,20K,"S. Michel, ST",,"3,200,000.00",3200000
2679,S. Milinkovic-Savic,24,Serbia,Lazio,85,90,€50.5M,€73K,CM,2023,67,79,80,83,77,84,Serie A,Italy,Midfielder,50.5M,73K,"S. Milinkovic-Savic, CM",,"50,500,000.00",50500000
2680,S. Missiroli,33,Italy,SPAL,74,74,€3.3M,€13K,CM,2021,61,65,73,71,68,63,Serie A,Italy,Midfielder,3.3M,13K,"S. Missiroli, CM",,"3,300,000.00",3300000
2681,S. Mitrovic,29,Serbia,RC Strasbourg Alsace,75,76,€6.5M,€25K,CB,2022,39,34,49,54,77,77,Ligue 1,France,Defender,6.5M,25K,"S. Mitrovic, CB",,"6,500,000.00",6500000
2682,S. Moore,29,England,Sheffield United,67,67,€550K,€9K,GK,2021,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,550K,9K,"S. Moore, GK",,"550,000.00",550000
2683,S. Moreira,24,France,Toulouse Football Club,72,76,€3.6M,€16K,RB,2021,68,32,67,65,71,67,Ligue 1,France,Defender,3.6M,16K,"S. Moreira, RB",,"3,600,000.00",3600000
2684,S. Moutoussamy,22,France,FC Nantes,71,79,€3.4M,€14K,CM,2024,74,59,69,75,67,58,Ligue 1,France,Midfielder,3.4M,14K,"S. Moutoussamy, CM",,"3,400,000.00",3400000
2685,S. Mulattieri,18,Italy,Inter,51,71,€80K,€3K,CAM,2022,61,43,47,57,26,51,Serie A,Italy,Midfielder,80K,3K,"S. Mulattieri, CAM",,"80,000.00",80000
2686,S. Mustafi,27,Germany,Arsenal,79,81,€13M,€76K,CB,2021,60,57,63,61,77,77,Premier League,UK,Defender,13M,76K,"S. Mustafi, CB",,"13,000,000.00",13000000
2687,S. Ngom,26,Senegal,FC Nantes,67,70,€975K,€9K,ST,2021,73,68,55,69,29,61,Ligue 1,France,Forward,975K,9K,"S. Ngom, ST",,"975,000.00",975000
2688,S. Nsoki,20,France,Paris Saint-Germain,68,82,€1.8M,€16K,LB,2021,70,37,59,64,69,71,Ligue 1,France,Defender,1.8M,16K,"S. Nsoki, LB",,"1,800,000.00",1800000
2689,S. Okaka,29,Italy,Watford,75,75,€6.5M,€60K,ST,2021,64,72,59,70,30,82,Premier League,UK,Forward,6.5M,60K,"S. Okaka, ST",,"6,500,000.00",6500000
2690,S. Özcan,21,Germany,1. FC Koln,70,79,€2.7M,€11K,CM,2020,66,57,67,73,67,66,Bundesliga,Germany,Midfielder,2.7M,11K,"S. Özcan, CM",,"2,700,000.00",2700000
2691,S. Perica,23,Croatia,Udinese,72,77,€4.2M,€12K,ST,2022,66,69,49,65,27,70,Serie A,Italy,Forward,4.2M,12K,"S. Perica, ST",,"4,200,000.00",4200000
2692,S. Perisan,21,Italy,Udinese,63,72,€450K,€2K,GK,2020,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,450K,2K,"S. Perisan, GK",,"450,000.00",450000
2693,S. Pettinari,27,Italy,Lecce,67,68,€900K,€7K,ST,2021,76,63,55,70,27,72,Serie A,Italy,Forward,900K,7K,"S. Pettinari, ST",,"900,000.00",900000
2694,S. Plaza,20,Ecuador,Real Valladolid CF,69,83,€2.3M,€8K,ST,2023,85,65,53,66,26,73,La Liga,Spain,Forward,2.3M,8K,"S. Plaza, ST",,"2,300,000.00",2300000
2695,S. Polter,28,Germany,1. FC Union Berlin,73,73,€4.1M,€33K,ST,2020,70,72,51,62,28,84,Bundesliga,Germany,Forward,4.1M,33K,"S. Polter, ST",,"4,100,000.00",4100000
2696,S. Posch,22,Austria,TSG 1899 Hoffenheim,72,80,€4.2M,€18K,CB,2023,59,29,43,38,75,68,Bundesliga,Germany,Defender,4.2M,18K,"S. Posch, CB",,"4,200,000.00",4200000
2697,S. Prcic,25,Bosnia Herzegovina,Levante UD,74,78,€7M,€20K,CM,2021,63,64,75,73,68,71,La Liga,Spain,Midfielder,7M,20K,"S. Prcic, CM",,"7,000,000.00",7000000
2698,S. Prodl,32,Austria,Watford,73,73,€2.6M,€41K,CB,2021,31,36,50,39,74,70,Premier League,UK,Defender,2.6M,41K,"S. Prodl, CB",,"2,600,000.00",2600000
2699,S. Proto,36,Belgium,Lazio,76,76,€1.3M,€20K,GK,2021,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,1.3M,20K,"S. Proto, GK",,"1,300,000.00",1300000
2700,S. Radu,32,Romania,Lazio,80,80,€9.5M,€51K,CB,2020,64,64,65,68,83,69,Serie A,Italy,Defender,9.5M,51K,"S. Radu, CB",,"9,500,000.00",9500000
2701,S. Rode,28,Germany,Eintracht Frankfurt,78,78,€9M,€35K,CDM,2024,67,62,71,73,76,77,Bundesliga,Germany,Midfielder,9M,35K,"S. Rode, CDM",,"9,000,000.00",9000000
2702,S. Romero,32,Argentina,Manchester United,80,80,€9M,€85K,GK,2021,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,9M,85K,"S. Romero, GK",,"9,000,000.00",9000000
2703,S. Rudy,29,Germany,TSG 1899 Hoffenheim,78,78,€9M,€35K,CDM,2020,64,67,79,78,75,67,Bundesliga,Germany,Midfielder,9M,35K,"S. Rudy, CDM",,"9,000,000.00",9000000
2704,S. Ruffier,32,France,AS Saint-etienne,84,84,€19M,€41K,GK,2021,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,19M,41K,"S. Ruffier, GK",,"19,000,000.00",19000000
2705,S. Sabelli,26,Italy,Brescia,68,71,€975K,€6K,RB,2021,77,39,55,61,65,75,Serie A,Italy,Defender,975K,6K,"S. Sabelli, RB",,"975,000.00",975000
2706,S. Sane,28,Senegal,FC Schalke 04,80,80,€13M,€37K,CB,2022,62,49,65,63,80,81,Bundesliga,Germany,Defender,13M,37K,"S. Sane, CB",,"13,000,000.00",13000000
2707,S. Sanna,20,France,Toulouse Football Club,61,78,€550K,€3K,CM,2020,64,52,61,64,45,48,Ligue 1,France,Midfielder,550K,3K,"S. Sanna, CM",,"550,000.00",550000
2708,S. Sarr,23,Senegal,Nimes Olympique,66,73,€900K,€6K,CM,2023,62,61,61,61,63,86,Ligue 1,France,Midfielder,900K,6K,"S. Sarr, CM",,"900,000.00",900000
2709,S. Savic,28,Montenegro,Atletico Madrid,82,84,€22.5M,€65K,CB,2020,55,35,54,56,84,72,La Liga,Spain,Defender,22.5M,65K,"S. Savic, CB",,"22,500,000.00",22500000
2710,S. Schonlau,24,Germany,SC Paderborn 07,72,76,€3.6M,€14K,CB,2021,66,36,52,56,72,72,Bundesliga,Germany,Defender,3.6M,14K,"S. Schonlau, CB",,"3,600,000.00",3600000
2711,S. Scuffet,23,Italy,Udinese,72,82,€3.9M,€8K,GK,2022,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,3.9M,8K,"S. Scuffet, GK",,"3,900,000.00",3900000
2712,S. Sensi,23,Italy,Inter,77,82,€11.5M,€48K,CM,2020,59,58,79,76,65,66,Serie A,Italy,Midfielder,11.5M,48K,"S. Sensi, CM",,"11,500,000.00",11500000
2713,S. Serdar,22,Germany,FC Schalke 04,75,82,€9M,€24K,CM,2022,68,62,69,76,71,78,Bundesliga,Germany,Midfielder,9M,24K,"S. Serdar, CM",,"9,000,000.00",9000000
2714,S. Shamal,23,France,Stade de Reims,57,66,€160K,€4K,ST,2020,70,51,41,62,20,47,Ligue 1,France,Forward,160K,4K,"S. Shamal, ST",,"160,000.00",160000
2715,S. Sirigu,32,Italy,Torino,84,84,€19M,€54K,GK,2022,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,19M,54K,"S. Sirigu, GK",,"19,000,000.00",19000000
2716,S. Sissoko,20,France,Stade de Reims,61,77,€525K,€3K,CDM,2023,72,43,56,63,58,63,Ligue 1,France,Midfielder,525K,3K,"S. Sissoko, CDM",,"525,000.00",525000
2717,S. Skrzybski,26,Germany,FC Schalke 04,73,75,€4.9M,€26K,ST,2021,78,73,65,75,33,62,Bundesliga,Germany,Forward,4.9M,26K,"S. Skrzybski, ST",,"4,900,000.00",4900000
2718,S. Straudi,20,Italy,SV Werder Bremen,61,73,€450K,€3K,RM,2022,72,51,55,64,50,51,Bundesliga,Germany,Midfielder,450K,3K,"S. Straudi, RM",,"450,000.00",450000
2719,S. Sturaro,26,Italy,Genoa,75,78,€8M,€17K,CM,2021,70,67,72,75,76,78,Serie A,Italy,Midfielder,8M,17K,"S. Sturaro, CM",,"8,000,000.00",8000000
2720,S. Sunzu,30,Zambia,FC Metz,74,74,€4.6M,€16K,CB,2020,52,38,50,50,73,82,Ligue 1,France,Defender,4.6M,16K,"S. Sunzu, CB",,"4,600,000.00",4600000
2721,S. Sy,23,Senegal,AS Monaco,66,74,€725K,€6K,GK,2020,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,725K,6K,"S. Sy, GK",,"725,000.00",725000
2722,S. Sy,20,France,Amiens SC,59,71,€250K,€2K,LB,2021,62,33,51,58,57,54,Ligue 1,France,Defender,250K,2K,"S. Sy, LB",,"250,000.00",250000
2723,S. Terodde,31,Germany,1. FC Koln,76,76,€7M,€29K,ST,2021,56,78,55,66,38,77,Bundesliga,Germany,Forward,7M,29K,"S. Terodde, ST",,"7,000,000.00",7000000
2724,S. Thioub,24,Senegal,Angers SCO,75,79,€8.5M,€19K,RM,2023,81,72,69,76,30,67,Ligue 1,France,Midfielder,8.5M,19K,"S. Thioub, RM",,"8,500,000.00",8500000
2725,S. Tonali,19,Italy,Brescia,75,89,€13.5M,€7K,CDM,2021,78,65,75,75,71,76,Serie A,Italy,Midfielder,13.5M,7K,"S. Tonali, CDM",,"13,500,000.00",13500000
2726,S. Ulreich,30,Germany,FC Bayern Munchen,79,79,€8.5M,€68K,GK,2021,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,8.5M,68K,"S. Ulreich, GK",,"8,500,000.00",8500000
2727,S. Umtiti,25,France,FC Barcelona,86,89,€50M,€210K,CB,2023,69,63,69,69,86,82,La Liga,Spain,Defender,50M,210K,"S. Umtiti, CB",,"50,000,000.00",50000000
2728,S. Väisänen,25,Finland,SPAL,68,71,€1M,€5K,CB,2020,52,39,53,57,68,67,Serie A,Italy,Defender,1M,5K,"S. Väisänen, CB",,"1,000,000.00",1000000
2729,S. van den Berg,17,Netherlands,Liverpool,66,84,€1.2M,€1K,CB,2022,68,30,55,63,65,66,Premier League,UK,Defender,1.2M,1K,"S. van den Berg, CB",,"1,200,000.00",1200000
2730,S. Vasiliadis,21,Germany,SC Paderborn 07,72,81,€4.8M,€13K,CM,2020,74,59,68,72,63,71,Bundesliga,Germany,Midfielder,4.8M,13K,"S. Vasiliadis, CM",,"4,800,000.00",4800000
2731,S. Verdi,26,Italy,Napoli,80,80,€16M,€69K,LM,2023,86,73,80,83,48,53,Serie A,Italy,Midfielder,16M,69K,"S. Verdi, LM",,"16,000,000.00",16000000
2732,S. Vrsaljko,27,Croatia,Atletico Madrid,80,80,€13M,€53K,RB,2022,77,55,74,75,79,77,La Liga,Spain,Defender,13M,53K,"S. Vrsaljko, RB",,"13,000,000.00",13000000
2733,S. Walukiewicz,19,Poland,Cagliari,68,82,€1.8M,€6K,CB,2023,59,38,46,51,68,72,Serie A,Italy,Defender,1.8M,6K,"S. Walukiewicz, CB",,"1,800,000.00",1800000
2734,S. Woods,20,England,Crystal Palace,57,71,€210K,€5K,CB,2020,42,25,35,36,57,58,Premier League,UK,Defender,210K,5K,"S. Woods, CB",,"210,000.00",210000
2735,S. Yago,26,Burkina Faso,Toulouse Football Club,70,73,€1.9M,€14K,RB,2020,66,40,62,68,68,77,Ligue 1,France,Defender,1.9M,14K,"S. Yago, RB",,"1,900,000.00",1900000
2736,S. Zaza,28,Italy,Torino,80,80,€15.5M,€59K,ST,2023,76,79,62,77,50,84,Serie A,Italy,Forward,15.5M,59K,"S. Zaza, ST",,"15,500,000.00",15500000
2737,S. Zuber,27,Switzerland,TSG 1899 Hoffenheim,76,76,€8M,€32K,CM,2020,78,74,73,77,71,75,Bundesliga,Germany,Midfielder,8M,32K,"S. Zuber, CM",,"8,000,000.00",8000000
2738,S. Zurkowski,21,Poland,Fiorentina,72,83,€5.5M,€24K,CM,2023,81,62,67,69,70,81,Serie A,Italy,Midfielder,5.5M,24K,"S. Zurkowski, CM",,"5,500,000.00",5500000
2739,Sabin Merino,27,Spain,CD Leganes,74,74,€6M,€27K,LW,2020,72,72,70,75,56,59,La Liga,Spain,Forward,6M,27K,"Sabin Merino, LW",,"6,000,000.00",6000000
2740,Salva Ruíz,24,Spain,Valencia CF,68,75,€1.1M,€10K,LB,2023,72,30,62,61,66,68,La Liga,Spain,Defender,1.1M,10K,"Salva Ruíz, LB",,"1,100,000.00",1100000
2741,Salva Sevilla,35,Spain,RCD Mallorca,75,75,€2.8M,€18K,CM,2021,46,70,80,71,48,60,La Liga,Spain,Midfielder,2.8M,18K,"Salva Sevilla, CM",,"2,800,000.00",2800000
2742,Samir,24,Brazil,Udinese,73,77,€4.7M,€11K,CB,2021,64,33,55,58,74,72,Serie A,Italy,Defender,4.7M,11K,"Samir, CB",,"4,700,000.00",4700000
2743,Samu Castillejo,24,Spain,Milan,80,83,€19M,€40K,RM,2023,82,73,78,82,43,52,Serie A,Italy,Midfielder,19M,40K,"Samu Castillejo, RM",,"19,000,000.00",19000000
2744,Samu Perez,22,Spain,Real Valladolid CF,65,75,€675K,€3K,GK,2020,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,675K,3K,"Samu Perez, GK",,"675,000.00",675000
2745,Sancet,19,Spain,Athletic Club de Bilbao,69,84,€2.2M,€6K,CM,2024,66,60,65,74,51,48,La Liga,Spain,Midfielder,2.2M,6K,"Sancet, CM",,"2,200,000.00",2200000
2746,Sandro,23,Spain,Real Valladolid CF,75,81,€9.5M,€18K,ST,2020,68,76,65,79,30,64,La Liga,Spain,Forward,9.5M,18K,"Sandro, ST",,"9,500,000.00",9500000
2747,Sandro,30,Brazil,Genoa,74,74,€4.6M,€14K,CDM,2020,54,69,67,68,75,72,Serie A,Italy,Midfielder,4.6M,14K,"Sandro, CDM",,"4,600,000.00",4600000
2748,Santi Cazorla,34,Spain,Villarreal CF,82,82,€11M,€45K,CM,2020,56,73,85,83,65,58,La Liga,Spain,Midfielder,11M,45K,"Santi Cazorla, CM",,"11,000,000.00",11000000
2749,Santi Mina,23,Spain,RC Celta,80,85,€20M,€29K,ST,2024,77,79,69,78,53,72,La Liga,Spain,Forward,20M,29K,"Santi Mina, ST",,"20,000,000.00",20000000
2750,Saúl,24,Spain,Atletico Madrid,85,89,€49.5M,€77K,CM,2026,70,78,79,81,78,78,La Liga,Spain,Midfielder,49.5M,77K,"Saúl, CM",,"49,500,000.00",49500000
2751,Saúl,24,Spain,Deportivo Alaves,72,79,€3.9M,€13K,LB,2023,69,45,66,67,70,64,La Liga,Spain,Defender,3.9M,13K,"Saúl, LB",,"3,900,000.00",3900000
2752,Señe,27,Spain,RCD Mallorca,69,70,€1.2M,€12K,CAM,2022,66,61,67,67,48,51,La Liga,Spain,Midfielder,1.2M,12K,"Señe, CAM",,"1,200,000.00",1200000
2753,Sergi Darder,25,Spain,RCD Espanyol,80,84,€19M,€33K,CM,2023,45,69,79,80,66,67,La Liga,Spain,Midfielder,19M,33K,"Sergi Darder, CM",,"19,000,000.00",19000000
2754,Sergi Enrich,29,Spain,SD Eibar,80,80,€15M,€34K,ST,2022,60,78,70,75,43,78,La Liga,Spain,Forward,15M,34K,"Sergi Enrich, ST",,"15,000,000.00",15000000
2755,Sergi Gómez,27,Spain,Sevilla FC,80,82,€15.5M,€20K,CB,2022,64,41,65,63,81,75,La Liga,Spain,Defender,15.5M,20K,"Sergi Gómez, CB",,"15,500,000.00",15500000
2756,Sergi Guardiola,28,Spain,Real Valladolid CF,77,77,€9M,€24K,ST,2023,76,77,62,77,30,77,La Liga,Spain,Forward,9M,24K,"Sergi Guardiola, ST",,"9,000,000.00",9000000
2757,Sergi Palencia,23,Spain,AS Saint-etienne,72,79,€3.9M,€17K,RB,2023,79,56,62,71,69,73,Ligue 1,France,Defender,3.9M,17K,"Sergi Palencia, RB",,"3,900,000.00",3900000
2758,Sergi Roberto,27,Spain,FC Barcelona,82,83,€22M,€155K,RB,2022,78,63,81,78,77,73,La Liga,Spain,Defender,22M,155K,"Sergi Roberto, RB",,"22,000,000.00",22000000
2759,Sergio,32,Spain,RC Celta,75,75,€4M,€16K,GK,2020,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,4M,16K,"Sergio, GK",,"4,000,000.00",4000000
2760,Sergio Álvarez,27,Spain,SD Eibar,75,78,€7.5M,€20K,CDM,2022,64,66,68,68,70,78,La Liga,Spain,Midfielder,7.5M,20K,"Sergio Álvarez, CDM",,"7,500,000.00",7500000
2761,Sergio Asenjo,30,Spain,Villarreal CF,82,83,€17M,€33K,GK,2022,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,17M,33K,"Sergio Asenjo, GK",,"17,000,000.00",17000000
2762,Sergio Busquets,30,Spain,FC Barcelona,89,89,€55M,€300K,CDM,2023,42,62,80,80,85,80,La Liga,Spain,Midfielder,55M,300K,"Sergio Busquets, CDM",,"55,000,000.00",55000000
2763,Sergio Camello,18,Spain,Atletico Madrid,65,83,€1.1M,€5K,ST,2024,64,64,51,65,24,46,La Liga,Spain,Forward,1.1M,5K,"Sergio Camello, ST",,"1,100,000.00",1100000
2764,Sergio Herrera,26,Spain,CA Osasuna,72,74,€2.7M,€15K,GK,2021,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,2.7M,15K,"Sergio Herrera, GK",,"2,700,000.00",2700000
2765,Sergio León,30,Spain,Levante UD,77,77,€8.5M,€27K,ST,2022,77,78,64,78,43,69,La Liga,Spain,Forward,8.5M,27K,"Sergio León, ST",,"8,500,000.00",8500000
2766,Sergio López,20,Spain,Real Madrid,66,82,€1.3M,€20K,RB,2022,80,55,62,67,62,58,La Liga,Spain,Defender,1.3M,20K,"Sergio López, RB",,"1,300,000.00",1300000
2767,Sergio Lozano,20,Spain,Villarreal CF,63,77,€800K,€4K,CM,2020,64,48,62,68,52,49,La Liga,Spain,Midfielder,800K,4K,"Sergio Lozano, CM",,"800,000.00",800000
2768,Sergio Ramos,33,Spain,Real Madrid,89,89,€31.5M,€300K,CB,2020,72,68,75,73,87,85,La Liga,Spain,Defender,31.5M,300K,"Sergio Ramos, CB",,"31,500,000.00",31500000
2769,Sergio Rico,25,Spain,Sevilla FC,77,79,€8M,€12K,GK,2021,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,8M,12K,"Sergio Rico, GK",,"8,000,000.00",8000000
2770,Sidnei,29,Brazil,Real Betis,80,80,€12.5M,€29K,CB,2022,70,55,61,64,78,82,La Liga,Spain,Defender,12.5M,29K,"Sidnei, CB",,"12,500,000.00",12500000
2771,Sillero,21,Spain,Athletic Club de Bilbao,63,75,€600K,€3K,RB,2021,72,43,51,53,63,62,La Liga,Spain,Defender,600K,3K,"Sillero, RB",,"600,000.00",600000
2772,Sito,22,Spain,Valencia CF,62,68,€425K,€5K,LM,2020,51,60,61,69,43,38,La Liga,Spain,Midfielder,425K,5K,"Sito, LM",,"425,000.00",425000
2773,Sivera,22,Spain,Deportivo Alaves,73,80,€4.3M,€12K,GK,2021,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,4.3M,12K,"Sivera, GK",,"4,300,000.00",4300000
2774,Sokratis,31,Greece,Arsenal,84,84,€23M,€115K,CB,2021,72,51,52,60,84,83,Premier League,UK,Defender,23M,115K,"Sokratis, CB",,"23,000,000.00",23000000
2775,Soldado,34,Spain,Granada CF,76,76,€4.1M,€23K,ST,2020,57,77,71,72,43,68,La Liga,Spain,Forward,4.1M,23K,"Soldado, ST",,"4,100,000.00",4100000
2776,Soriano,21,Spain,CD Leganes,69,77,€1.2M,€6K,GK,2020,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,1.2M,6K,"Soriano, GK",,"1,200,000.00",1200000
2777,Strefezza,22,Brazil,SPAL,60,68,€300K,€2K,LW,2022,80,43,51,67,22,41,Serie A,Italy,Forward,300K,2K,"Strefezza, LW",,"300,000.00",300000
2778,Suk Hyun Jun,28,Korea Republic,Stade de Reims,73,73,€4.1M,€26K,ST,2022,62,74,58,69,39,78,Ligue 1,France,Forward,4.1M,26K,"Suk Hyun Jun, ST",,"4,100,000.00",4100000
2779,Suso,25,Spain,Milan,82,84,€27M,€56K,RW,2022,78,76,83,87,33,53,Serie A,Italy,Forward,27M,56K,"Suso, RW",,"27,000,000.00",27000000
2780,T. Abraham,21,England,Chelsea,76,85,€12M,€67K,ST,2022,74,74,57,69,31,68,Premier League,UK,Forward,12M,67K,"T. Abraham, ST",,"12,000,000.00",12000000
2781,T. Adams,20,United States,RB Leipzig,76,86,€11.5M,€28K,CDM,2023,76,48,67,72,73,75,Bundesliga,Germany,Midfielder,11.5M,28K,"T. Adams, CDM",,"11,500,000.00",11500000
2782,T. Alderweireld,30,Belgium,Tottenham Hotspur,87,87,€41M,€155K,CB,2020,64,55,72,66,88,79,Premier League,UK,Defender,41M,155K,"T. Alderweireld, CB",,"41,000,000.00",41000000
2783,T. Alexander-Arnold,20,England,Liverpool,83,89,€32M,€78K,RB,2024,80,62,82,78,78,70,Premier League,UK,Defender,32M,78K,"T. Alexander-Arnold, RB",,"32,000,000.00",32000000
2784,T. Ambrose,22,France,FC Metz,67,77,€1.2M,€6K,LM,2020,81,65,58,66,29,68,Ligue 1,France,Midfielder,1.2M,6K,"T. Ambrose, LM",,"1,200,000.00",1200000
